model,topic,age,latency_s,json_valid,schema_compliance,validation_error
llama3.1:latest,Python Variables,12,495.3,True,False,"[] should be non-empty

Failed validating 'minItems' in schema['properties']['exercises']:
    {'type': 'array',
     'minItems': 1,
     'maxItems': 3,
     'items': {'type': 'object',
               'required': ['id',
                            't"
llama3.1:latest,Python Loops,10,483.37,True,False,"'metadata' is a required property

Failed validating 'required' in schema:
    {'$schema': 'http://json-schema.org/draft-07/schema#',
     'title': 'TechKids Course Module - COMP 2 Final Structure',
     'description': 'Unified JSON structure for all"
llama3.1:latest,Python Conditionals,14,544.39,True,False,"'exercises' is a required property

Failed validating 'required' in schema:
    {'$schema': 'http://json-schema.org/draft-07/schema#',
     'title': 'TechKids Course Module - COMP 2 Final Structure',
     'description': 'Unified JSON structure for al"
llama3.1:latest,Arduino Blink LED,11,551.91,True,False,"'metadata' is a required property

Failed validating 'required' in schema:
    {'$schema': 'http://json-schema.org/draft-07/schema#',
     'title': 'TechKids Course Module - COMP 2 Final Structure',
     'description': 'Unified JSON structure for all"
